genus,family,order,group
Acorus,Acoraceae,Acorales,Angiosperms
Albidella,Alismataceae,Alismatales,Angiosperms
Alisma,Alismataceae,Alismatales,Angiosperms
Astonia,Alismataceae,Alismatales,Angiosperms
Baldellia,Alismataceae,Alismatales,Angiosperms
Burnatia,Alismataceae,Alismatales,Angiosperms
Butomopsis,Alismataceae,Alismatales,Angiosperms
Caldesia,Alismataceae,Alismatales,Angiosperms
Damasonium,Alismataceae,Alismatales,Angiosperms
Echinodorus,Alismataceae,Alismatales,Angiosperms
Helanthium,Alismataceae,Alismatales,Angiosperms
Hydrocleys,Alismataceae,Alismatales,Angiosperms
Limnocharis,Alismataceae,Alismatales,Angiosperms
Limnophyton,Alismataceae,Alismatales,Angiosperms
Luronium,Alismataceae,Alismatales,Angiosperms
Ranalisma,Alismataceae,Alismatales,Angiosperms
Sagittaria,Alismataceae,Alismatales,Angiosperms
Wiesneria,Alismataceae,Alismatales,Angiosperms
Aponogeton,Aponogetonaceae,Alismatales,Angiosperms
Ouvirandra,Aponogetonaceae,Alismatales,Angiosperms
Acontias,Araceae,Alismatales,Angiosperms
Aglaodorum,Araceae,Alismatales,Angiosperms
Aglaonema,Araceae,Alismatales,Angiosperms
Alloschemone,Araceae,Alismatales,Angiosperms
Alocasia,Araceae,Alismatales,Angiosperms
Amauriella,Araceae,Alismatales,Angiosperms
Ambrosina,Araceae,Alismatales,Angiosperms
Amorphophallus,Araceae,Alismatales,Angiosperms
Amydrium,Araceae,Alismatales,Angiosperms
Anadendrum,Araceae,Alismatales,Angiosperms
Anaphyllopsis,Araceae,Alismatales,Angiosperms
Anaphyllum,Araceae,Alismatales,Angiosperms
Anchomanes,Araceae,Alismatales,Angiosperms
Anthurium,Araceae,Alismatales,Angiosperms
Anubias,Araceae,Alismatales,Angiosperms
Apoballis,Araceae,Alismatales,Angiosperms
Aridarum,Araceae,Alismatales,Angiosperms
Ariopsis,Araceae,Alismatales,Angiosperms
Arisaema,Araceae,Alismatales,Angiosperms
Arisarum,Araceae,Alismatales,Angiosperms
Arophyton,Araceae,Alismatales,Angiosperms
Arum,Araceae,Alismatales,Angiosperms
Asterostigma,Araceae,Alismatales,Angiosperms
Bakoa,Araceae,Alismatales,Angiosperms
Biarum,Araceae,Alismatales,Angiosperms
Bognera,Araceae,Alismatales,Angiosperms
Bucephalandra,Araceae,Alismatales,Angiosperms
Caladium,Araceae,Alismatales,Angiosperms
Calla,Araceae,Alismatales,Angiosperms
Callopsis,Araceae,Alismatales,Angiosperms
Carlephyton,Araceae,Alismatales,Angiosperms
Cercestis,Araceae,Alismatales,Angiosperms
Chlorospatha,Araceae,Alismatales,Angiosperms
Colletogyne,Araceae,Alismatales,Angiosperms
Colocasia,Araceae,Alismatales,Angiosperms
Croatiella,Araceae,Alismatales,Angiosperms
Cryptocoryne,Araceae,Alismatales,Angiosperms
Culcasia,Araceae,Alismatales,Angiosperms
Cyrtosperma,Araceae,Alismatales,Angiosperms
Dieffenbachia,Araceae,Alismatales,Angiosperms
Dracontioides,Araceae,Alismatales,Angiosperms
Dracontium,Araceae,Alismatales,Angiosperms
Dracunculus,Araceae,Alismatales,Angiosperms
Eminium,Araceae,Alismatales,Angiosperms
Epipremnum,Araceae,Alismatales,Angiosperms
Filarum,Araceae,Alismatales,Angiosperms
Furtadoa,Araceae,Alismatales,Angiosperms
Gearum,Araceae,Alismatales,Angiosperms
Gonatopus,Araceae,Alismatales,Angiosperms
Gorgonidium,Araceae,Alismatales,Angiosperms
Gymnostachys,Araceae,Alismatales,Angiosperms
Hapaline,Araceae,Alismatales,Angiosperms
Helicodiceros,Araceae,Alismatales,Angiosperms
Hestia,Araceae,Alismatales,Angiosperms
Heteropsis,Araceae,Alismatales,Angiosperms
Holochlamys,Araceae,Alismatales,Angiosperms
Homaida,Araceae,Alismatales,Angiosperms
Homalomena,Araceae,Alismatales,Angiosperms
Incarum,Araceae,Alismatales,Angiosperms
Jasarum,Araceae,Alismatales,Angiosperms
Lagenandra,Araceae,Alismatales,Angiosperms
Lasia,Araceae,Alismatales,Angiosperms
Lasimorpha,Araceae,Alismatales,Angiosperms
Lemna,Araceae,Alismatales,Angiosperms
Lysichiton,Araceae,Alismatales,Angiosperms
